collect_scheduled_date,collect_token,pickup_date,quantity,title,unique_client,dependents_qty,household,preferred_languages,primary_contact,Sex,status,age_group,family_name,pickup_month,pickup_day,distance_km,days_since_last_visit,days_since_last_pickup,visit_count,visits_last_1m,visits_last_3m,visits_last_6m,client_returned,recent_returned_1m,recent_returned_3m,recent_returned_6m,missed_pickup,scheduled_but_missed,is_future_scheduled,schedule_pickup_gap_days,scheduled_month,scheduled_weekday,pickup_weekday
2023-11-07 04:00:00,BYF4VF,2023-11-07 15:59:00,1,Abdulhalim's Hamper,1694115474357x134699341188431870,6,yes,Arabic,1694116977541x457443885172654100,Undefined,Active,36-60,Family 2,11.0,7,7.293170953082761,292,292.0,3,0,0,1,1,0,0,1,0,False,False,0.0,11,Tuesday,Tuesday
2023-11-13 04:00:00,UYW02H,,1,food hamper,1694630813849x163939988692795400,2,yes,Turkish,1694631770190x471709318317080600,Undefined,Active,19-35,Family 4,,13,11.05489526758213,286,,0,0,0,0,0,0,0,0,1,True,False,,11,Monday,
2023-12-13 04:00:00,9IQ2X1,,1,food hamper,1694630813849x163939988692795400,2,yes,Turkish,1694631770190x471709318317080600,Undefined,Active,19-35,Family 4,,13,11.05489526758213,256,,0,0,0,0,0,0,0,0,1,True,False,,12,Wednesday,
2024-01-13 04:00:00,89SQQE,,1,food hamper,1694630813849x163939988692795400,2,yes,Turkish,1694631770190x471709318317080600,Undefined,Active,19-35,Family 4,,13,11.05489526758213,225,,0,0,0,0,0,0,0,0,1,True,False,,1,Saturday,
2024-02-13 04:00:00,FCB9ED,,1,food hamper,1694630813849x163939988692795400,2,yes,Turkish,1694631770190x471709318317080600,Undefined,Active,19-35,Family 4,,13,11.05489526758213,194,,0,0,0,0,0,0,0,0,1,True,False,,2,Tuesday,
2024-03-13 03:00:00,OSYCZC,,1,food hamper,1694630813849x163939988692795400,2,yes,Turkish,1694631770190x471709318317080600,Undefined,Active,19-35,Family 4,,13,11.05489526758213,165,,0,0,0,0,0,0,0,0,1,True,False,,3,Wednesday,
2024-04-13 03:00:00,LBNXFH,,1,food hamper,1694630813849x163939988692795400,2,yes,Turkish,1694631770190x471709318317080600,Undefined,Active,19-35,Family 4,,13,11.05489526758213,134,,0,0,0,0,0,0,0,0,1,True,False,,4,Saturday,
2024-05-13 03:00:00,QDYTK9,,1,food hamper,1694630813849x163939988692795400,2,yes,Turkish,1694631770190x471709318317080600,Undefined,Active,19-35,Family 4,,13,11.05489526758213,104,,0,0,0,0,0,0,0,0,1,True,False,,5,Monday,
2024-06-13 03:00:00,GRWSNE,,1,food hamper,1694630813849x163939988692795400,2,yes,Turkish,1694631770190x471709318317080600,Undefined,Active,19-35,Family 4,,13,11.05489526758213,73,,0,0,0,0,0,0,0,0,1,True,False,,6,Thursday,
2024-07-13 03:00:00,Z6AFE7,,1,food hamper,1694630813849x163939988692795400,2,yes,Turkish,1694631770190x471709318317080600,Undefined,Active,19-35,Family 4,,13,11.05489526758213,43,,0,0,0,0,0,0,0,0,1,True,False,,7,Saturday,
2024-08-13 03:00:00,7HZI50,,1,food hamper,1694630813849x163939988692795400,2,yes,Turkish,1694631770190x471709318317080600,Undefined,Active,19-35,Family 4,,13,11.05489526758213,12,,0,0,0,0,0,0,0,0,1,True,False,,8,Tuesday,
2023-11-14 04:00:00,FDFNUJ,2023-11-14 18:07:00,1,Food Hamper,1694706859040x976185037439631400,3,yes,"English , Arabic",1694707691637x461787409623547900,Undefined,Closed,36-60,Family 5,11.0,14,8.728439353653572,285,285.0,8,0,2,3,1,0,1,1,0,False,False,0.0,11,Tuesday,Tuesday
2023-12-14 04:00:00,NTU34D,2023-12-14 14:28:00,1,Food Hamper,1694706859040x976185037439631400,3,yes,"English , Arabic",1694707691637x461787409623547900,Undefined,Closed,36-60,Family 5,12.0,14,8.728439353653572,255,255.0,8,0,2,3,1,0,1,1,0,False,False,0.0,12,Thursday,Thursday
2024-02-14 04:00:00,HNQ602,2024-02-20 17:59:00,1,Food Hamper,1694706859040x976185037439631400,3,yes,"English , Arabic",1694707691637x461787409623547900,Undefined,Closed,36-60,Family 5,2.0,14,8.728439353653572,193,187.0,8,0,2,3,1,0,1,1,0,False,False,6.0,2,Wednesday,Tuesday
